StartNode;EndNode;Distance;Time;Nodes visited
331984;240235;473118,7;216;94992
1330657;1377019;979877,2;1069;643182
869718;1493767;683961,1;99;78349
650495;108182;35720,79;31;25966
864593;154295;753282,3;530;290808
1270232;345076;528166;51;40131
1568244;1312286;677462,2;96;79307
856576;1326010;922584,3;1103;679447
861665;511516;14605,02;2;589
1599615;398292;384755,4;261;171456
1493788;1641745;68713,87;9;7757
1152398;1419207;493973,2;36;28562
1512894;1392009;834785,5;2035;1126463
732778;211241;102770,2;18;16131
1065523;1369867;762740,9;249;152733
304607;527817;529620,5;101;82935
1563069;1049958;448322,5;430;161326
604572;923666;521910,2;162;124229
135751;195775;402383,7;76;62241
428640;1214352;277919,3;18;16064
813682;487363;99372,47;10;9486
1247074;23471;354924,2;30;26972
1227446;1087293;627477,9;768;281962
774640;922531;289459,4;319;207242
674757;732405;285543,1;5;5310
1093449;338031;531905,6;507;226448
1088235;193528;379065;45;34732
132310;922879;609979,4;413;287486
1207079;613334;292229,1;34;23778
85573;913058;86627,2;4;1853
1152811;269742;182950,6;110;74873
1337349;6307;401272,6;33;26661
1438744;1653266;395970,5;124;70235
980722;1446834;461144,3;43;34955
1301511;59456;828913,8;488;237806
751690;326475;469722,9;274;160318
1025121;1669481;256754,7;33;27839
1143098;1006424;315038,9;51;43292
394670;1128927;692648,6;716;423961
191761;425601;347995,1;65;51739
617369;1554845;534066,8;80;65761
1281083;333117;234570,9;21;18131
276417;1711174;555844,6;381;176279
1184181;1369541;281150,8;79;58756
917647;1426292;477884,3;4;4655
1461186;1267016;502595,3;880;470532
110201;1260180;175787,4;36;28085
61541;543939;684057,4;1563;749894
894613;1240767;530019,9;356;175370
329325;1318778;910323,8;526;394740
106571;1072405;493309;269;106088
1365619;615300;515785,8;100;77033
1725313;766974;279593,2;370;247971
1057509;1163352;148297,3;47;38120
795029;870484;625192,9;219;76323
528208;78152;144122,4;0;832
421572;1404571;297933,4;61;44025
295689;1342564;574628,9;43;36157
733258;1004231;380150,8;42;35725
1474488;1472168;709905,1;172;127411
469084;1355779;622792,3;973;502697
529186;1619817;904347,3;153;119552
342868;1229273;1016990;1378;783094
216273;1509539;578461,6;782;463612
1607940;599158;460599;307;73939
111811;898501;325763,6;27;20815
799601;617581;290209,1;153;103732
319030;1289562;230781,6;31;19226
189226;665782;539254,8;579;295527
352402;1254042;19702,15;0;184
653665;20828;161792,7;28;23769
574512;47163;845983,5;182;138681
898083;1383034;440692,9;287;185067
845443;450229;353676;40;15774
964491;463575;591068,6;245;128729
1555279;1634980;27903,55;0;582
1510878;601756;356286,2;44;35882
849694;495390;103822,5;5;5075
543218;1490400;186449,4;22;18017
272432;496040;453368,8;975;602189
550700;1292568;448061,9;232;142562
1300011;195870;749768,2;1595;788189
758673;1374305;332906,2;221;156289
1023149;1548590;472300,1;524;269606
1085540;750725;632995,1;120;89196
1153338;67476;204489,5;6;5072
651829;220445;557527,5;618;408274
818503;448256;691235,9;127;28412
781267;482023;102353,2;149;47260
721734;704432;275904,6;84;61365
383830;1510642;776450,7;765;452939
545048;1144365;403158;269;193237
788478;221429;932645,1;745;443472
1132222;197844;670231,5;1459;852518
1512486;1568239;214615,5;55;39663
