StartNode;EndNode;Distance;Time;Nodes visited
331984;240235;473118,7;93;67221
1330657;1377019;979877,2;290;219856
869718;1493767;683961,1;322;57374
650495;108182;35720,79;125;22111
864593;154295;753282,3;333;194581
1270232;345076;528166;65;45945
1568244;1312286;677462,2;95;72033
856576;1326010;922584,3;604;339491
861665;511516;14605,02;0;836
1599615;398292;384755,4;50;42657
1493788;1641745;68713,87;2;977
1152398;1419207;493973,2;33;21058
1512894;1392009;834785,5;1062;632784
732778;211241;102770,2;40;27320
1065523;1369867;762740,9;256;167867
304607;527817;529620,5;72;52623
1563069;1049958;448322,5;209;139966
604572;923666;521910,2;102;75334
135751;195775;402383,7;247;50065
428640;1214352;277919,3;160;25457
813682;487363;99372,47;8;6964
1247074;23471;354924,2;26;20544
1227446;1087293;627477,9;609;367735
774640;922531;289459,4;90;46474
674757;732405;285543,1;7;5652
1093449;338031;531905,6;310;192769
1088235;193528;379065;26;20111
132310;922879;609979,4;132;88002
1207079;613334;292229,1;5;5079
85573;913058;86627,2;3;2180
1152811;269742;182950,6;152;35787
1337349;6307;401272,6;51;37938
1438744;1653266;395970,5;84;52680
980722;1446834;461144,3;42;34955
1301511;59456;828913,8;222;161769
751690;326475;469722,9;115;94757
1025121;1669481;256754,7;59;27708
1143098;1006424;315038,9;36;30167
394670;1128927;692648,6;567;386237
191761;425601;347995,1;57;42499
617369;1554845;534066,8;84;43070
1281083;333117;234570,9;94;30667
276417;1711174;555844,6;122;81460
1184181;1369541;281150,8;74;54629
917647;1426292;477884,3;7;6027
1461186;1267016;502595,3;835;473597
110201;1260180;175787,4;33;25301
61541;543939;684057,4;916;494499
894613;1240767;530019,9;43;33739
329325;1318778;910323,8;405;270589
106571;1072405;493309;113;87998
1365619;615300;515785,8;109;66821
1725313;766974;279593,2;168;78357
1057509;1163352;148297,3;20;17808
795029;870484;625192,9;29;26556
528208;78152;144122,4;0;857
421572;1404571;297933,4;54;43566
295689;1342564;574628,9;36;30390
733258;1004231;380150,8;26;23315
1474488;1472168;709905,1;101;83811
